timestamp,core_set,packets,payload_len,loss_percent,corrupt_percent,duplicate_percent,throughput_pkt_s,p50_ns,p99_ns,p99_9_ns
2026-06-04T21:07:36Z,0-1,10000,512,5,2,1,1528128.37,33934,72245,94776
2026-06-04T21:07:36Z,0-1,10000,512,5,2,1,1564949.07,34093,61795,86742
2026-06-04T21:07:37Z,0-1,10000,512,5,2,1,1465484.22,34333,73938,78066
2026-06-04T21:07:37Z,0-1,10000,512,5,2,1,1353388.96,40094,168454,187670
2026-06-04T21:07:37Z,0-1,10000,512,5,2,1,1376644.02,36048,150490,208339
2026-06-04T21:07:37Z,0-1,10000,512,5,2,1,1446266.68,37460,63869,82184
2026-06-04T21:07:37Z,0-1,10000,512,5,2,1,1344110.74,41397,70612,129431
