route_count,mean_time_ns,throughput_melem_s
1,24.442,10.474
2,26.014,9.8407
3,25.181,10.166
4,25.496,10.041
5,26.047,9.8284
6,26.781,9.5589
7,27.365,9.3552
8,27.650,9.2585
16,29.661,8.6309
