route_count,mean_time_ns,throughput_melem_s
1,24.203,10.577
2,24.926,10.270
4,25.332,10.106
8,27.956,9.1571
16,29.898,8.5625
32,33.315,7.6841
64,34.818,7.3524
128,39.498,6.4813
256,30.059,8.5166
512,30.312,8.4455
1024,30.101,8.5047
