route_count,mean_time_ns,throughput_melem_s
1,24.884,10.288
2,24.834,10.308
3,25.554,10.018
4,26.250,9.7524
5,26.482,9.6668
6,27.477,9.3168
7,27.458,9.3234
8,28.152,9.0934
16,30.097,8.5058
